H5分享,一般页,旧H5,文案,,我发布的新唱片！,我發佈的新唱片!,This is my new album!,"¡Este es mi nuevo álbum!
",Это мой новый альбом!,Este é meu novo álbum!,Dies ist mein neues Album!,제 새로운 앨범입니다!,新しいアルバム!,Voici mon nouvel album!,Questo è il mio nuovo album!,هذا هو ألبومي الجديد!,,,,
,,,按钮,custom_your_cover,自定义唱片封面,自定義唱片封面,Customize Your Cover,Personaliza tu cubierta,Настройте свою обложку,Personalize Sua Capa,Personalisiere Dein Cover,커버를 원하는대로 변경하세요,表紙を自分で設計,Personalisez votre couverture,Modifica la tua copertina,تخصيص غلاف ألبومك,Kapağınızı özelleştirin,Ubah sampul album Anda,,
,,,文案,cd_float_desc,这是您的新唱片！,這是您的新唱片！,This Is Your New Album!,¡Este es tu nuevo álbum!,Это ваш новый альбом!,Este é seu novo álbum!,Dies ist Dein neues Album!,당신의 새로운 앨범입니다!,新しいレコードだよ!,Voici Votre Nouvel Album!,Questo è il tuo nuovo album!,هذا ألبوم جديد خاص بك,Yeni albümünüz bu!,Ini album Anda yang baru,,
,,,,choose_share,将您的音乐分享出去吧！,將您的音樂分享出去吧！,Choose & Share Your Music,Elige y comparte tu música,Поделитесь вашей музыкой!,Escolher e compartilhar a música,Wähle und teile Deine Musik,당신의 음악을 선택 & 공유하기,君の音楽を共有しよう,Choisissez et partagez votre musique,Scegli & Condividi la Tua Musica,مشاركة الموسيقى,Müziğinizi seçin ve paylaşın,Pilih dan berbagi musik Anda,,
,,,按钮,camera,相机,相機,Camera,Cámara,Камера,Câmera,Kamera,카메라,カメラ,Caméra,Camera,كاميرا,Kamera,Kamera,,
,,,按钮,gallery,相册,相冊,Album,Álbum,Альбом,Álbum,Album,앨범,アルバム,Album,Album,الألبوم,Albüm,Album,,
,,,按钮,more,更多,更多,More,Más,Больше,Mais,Mehr,더 보기,そのほか,Plus,Più,المزيد,Daha fazla,Lebih banyak,,
,,,弹窗,app_not_found,没找到这个App,沒找到這個App,App not found.,Aplicación no encontrada,Приложение не найдено,App não encontrado,App nicht gefunden.,앱을 찾을 수 없습니다.,アプリが見つからない,Application non trouvée,App non trovata,التطبيق ليس موجودا,Uygulama bulunamadı.,App tidak ditemukan,,
,,H5编辑文案,,,更换封面,更換封面,Change Cover,Cambiar cubierta,Изменить обложку,Alterar Capa,ändern Abdeckung,커버 변경,カバーを変更,Changer la couverture,Cambia Cover,استبدال الغطاء,,,,
,,H5编辑文案,,,分享专辑,分享專輯,Share Your Album,Comparte tu álbum,Поделиться альбомом,Compartilhe Album,Sagen Sie Ihre Album,앨범을 공유하기,アルバムを共有する,Partager votre album,Condividi il tuo Album,شارك بهذا الالبوم,,,,
,,H5图片编辑文案,,crop_click_error,没有可用的图片资源,沒有可用的圖片資源,No image sources available,Sin imágenes disponibles,Изображение временно недоступно,Nenhuma imagem disponível,Keine Bildquellen verfügbar,사용 가능한 이미지 소스가 없습니다,使用できるイメージソースがない,Aucune image disponible,Nessuna Sorgente Immagine disponibile,لا المصادر المتاحة للصورة,Resim kaynakları kullanılamaz,Tidak ada foto yang tersedia,,
,,H5图片编辑文案,,crop_saving,保存图片中…,保存圖片中…,Saving picture…,Guardando fotos...,Загрузка изображения…,Salvando imagem...,Speichere Bild…,이미지 저장 중…,画像が保存中,Enregsitrer l'image,Salvando foto…,حفظ الصورة ...,Resim kaydediliyor...,Sedang menyimpan foto,,
,,H5图片编辑文案,,crop_wait,请等待…,請等待…,Please wait…,Por favor espera…,"Пожалуйста, подождите ...","Espere, por favor.",Bitte warten…,잠깐 기다리세요…,お待ちください,Veuillez patienter...,Attendi…,يرجى الانتظار ...,Lütfen bekleyin…,Silakan menunggu,,
,,H5无网络文案,,share_fb_have_no_network,网络不太给力,網絡不太給力,"Unstable network
",Consigue una conexión estable para compartir,Проверьте подключение,Conexão da internet instável,"Stelle sicher, dass Du eine gute Internetverbindung hast.",공유하기 위해 안정된 네트워크에 연결하세요,インターネットの調子が悪い,Connexion instable,Ottieni una connessione stabile per condividere,شبكة ليست جيدة,İnternet bağlantınız kötü.,Jaringan tidak stabil,,
,,对外展示文案,,,我演奏了超赞的一曲 '%1$s'，您一定喜欢！,我演奏了超讚的一曲'%1$s'，您一定會點讚！,I just played the song '%1$s'. You gonna like it!,Toqué la canción '%1$s'. ¡Te encantará!,Вы не поверите! Я играл песню '%1$s'.,Já jogou a canção '%1$s'. Vai gostar!,Ich habe soeben das Lied '%1$s' gespielt. Du wirst es mögen!,%1$s'(을)를 방금 플레이하였습니다. 좋아하실 거예요!,%1$s'を演奏した。絶対に気に入るから。,Je viens de jouer '%1$s'. Vous allez l'adorer!,Ho appena suonato la musica '%1$s'. Ti piacerà!,أنا فقط لعبت الأغنية '%1$s'. كنت ستعمل مثل ذلك!,,,,
,,对外展示文案（ios）,,share_msg_ios,太神奇了！我刚弹奏了一首钢琴曲《%@》，你也一起来吧！,太神奇了！我剛彈奏了一首鋼琴曲《%@》，你也一起來吧！,"Amazing! I just played a piano song '%@', come and join us!","¡Fantástico! Acabo de tocar la canción ""%@"", ¡ven a jugar conmigo!",Как здорово! Я играю «%@». Попробуй и ты!,"Que maravilha! Acabei de tocar a musica ""%@"". Você queria jogar também? Vamos competir!",Wunderbar! Ich habe gerade '%@' gespielt. Spielen wir zusammen!,"너무 신기해요! 내가 피아노곡 <%@> 연주했어요, 같이 해요!",不思議ですね！先ほどピアノ曲「%@」を演奏しました。一緒に参加しましょう！,"Fantastique! Je viens de jouer un morceau de piano ""%@"", vas-y avec moi!","Fantastico! Ho appena suonato un ""%@"". Gioca con me anche tu!",يا للمفاجأة! كنت أعزف 《%@》 على البيانو، فتشارك معنا!,Şarkıyı '%@' oynadım! Kesin beğeneceksiniz!,"Tadi saya main lagu '%@',Anda pasti suka!",,
,,对外展示文案,,share_msg,太神奇了！我刚弹奏了一首钢琴曲《%1$s》，你也一起来吧！,太神奇了！我剛彈奏了一首鋼琴曲《%1$s》，你也一起來吧！,"Amazing! I just played a piano song '%1$s', come and join us!","¡Fantástico! Acabo de tocar la canción ""%1$s"", ¡ven a jugar conmigo!",Как здорово! Я играю «%1$s». Попробуй и ты!,"Que maravilha! Acabei de tocar a musica ""%1$s"". Você queria jogar também? Vamos competir!",Wunderbar! Ich habe gerade '%1$s' gespielt. Spielen wir zusammen!,"너무 신기해요! 내가 피아노곡 <%1$s> 연주했어요, 같이 해요!",不思議ですね！先ほどピアノ曲「%1$s」を演奏しました。一緒に参加しましょう！,"Fantastique! Je viens de jouer un morceau de piano ""%1$s"", vas-y avec moi!","Fantastico! Ho appena suonato un ""%1$s"". Gioca con me anche tu!",يا للمفاجأة! كنت أعزف 《%1$s》 على البيانو، فتشارك معنا!,Şarkıyı '%1$s' oynadım! Kesin beğeneceksiniz! Haydi gelin!,"Tadi saya main lagu '%1$s',Silakan coba!",,
,,对外展示按钮,,,我也试试！,我也試試！,Create yours!,¡Crea la tuya!,Создайте свою песню!,Queria fazer!,Ich möchte machen!,당신의 것을 만들어보세요!,自分にも作成！,Créez le vôtre!,Crea la tua,خلق لك!,,,,
,,对外展示按钮,,,播放,播放,Play it!,¡Tocar!,Играть,Reproduzir,Spiele es!,플레이,プレイ,Jouer,Giocalo,العب,,,,
,ios权限,,,camera_authority,请在%@的“设置-隐私-相机”中，同意钢琴块2的相机权限,請在%@的“設置-隱私-相機”中，同意鋼琴塊2的相機權限,"Please consent the access to the camera of ""Piano Tiles 2"" in your %@. Go to Settings-Privacy-Camera and turn access on.","Por favor consiente el acceso de ""Piano Tiles 2"" a tu cámara en tu %@. Ve a Ajustes-Privacidad-Cámara y abre el acceso.",Предоставьте приложению доступ к камере в настройках %@ (Настройки → Конфиденциальность → Камера).,"Por favor, vá para Configurações- Privacidade-Câmera e permita ao Piano Tiles 2 o acesso à câmera no seu %@.","Bitte erlauben Sie den Zugang von ""Piano Tiles 2"" zur Kamera in Ihrem %@. Gehen Sie zu Einstellungen-Dantenschutz-Kamera und schalten Sie den Zugang an.","%@의 ""설정-개인 정보 보호-카메라""에서 피아노 타일2의 접근요청을 수락해 주세요.",ピアノタイル2が%@の中で「設定」--「プライバシー」 --「カメラ」で設定してカメラへのアクセンスをもらう。,"Veuillez donner l'accès à la caméra de ""Piano Tiles 2"" dans votre%@. Allez dans Paramètres-Confidentialité-caméra","Ti preghiamo di aprire l'autorità di ""Piano Tiles 2"" di foto in tuo %@. Andare a Impostazione-Privacy-Foto e aprire l'autorità.","يرجى الموافقة على الوصول إلى الكاميرا من ""بيانو تايلز 2"" في%@ الخاص بك. انتقل إلى إعدادات الخصوصية، كاميرا -تحويل ثم تفعيل الوصول",Piano Tiles 2 uygulamasıyla kamera kullanmak için lütfen 'Ayarlar-Gizlilik Kamera' kamerana erişime izin verin.,"Silakan izinkan piano tiles 2 mengakses kamera perangkat Anda di ""pengaturan-privasi-kamera""",,
截图分享-CocosProject_share2,过渡信息,toast,,sharepic_loading,请稍等...,請稍等...,Loading...,Cargando...,Загрузка ...,Carregando...,Wird geladen ...,로딩 ...,読み込んでいます...,Attendez,Caricando…,جاري تحميل,Yükleniyor,Silakan menunggu,,
,一般页,对外文案,普通页,shareshow_text1_main,我在钢琴块2的'%1$s'演奏出 %2$s水平，求挑战求超越！,我在鋼琴塊2的'%1$s'演奏出 %2$s評價，求挑戰求超越！,I gained %2$s in '%1$s' of Piano Tiles 2. Who can beat me?,He ganado  %2$s en la canción '%1$s'.¿Quién me gana PianoTiles2 ?,Мой результат за «%1$s» в Плитках фортепиано 2 - %2$s. А вам слабо?,Ganhei %2$s na canção '%1$s' de Piano Tiles 2. Desafie-me!,Ich habe %2$s in '%1$s' von Piano Tiles 2 erhalten. Wer kann mich besiegen?,저는 피아노 타일2의 '%1$s' 에서 %2$s 평가를 얻었습니다. 제 기록을 깰 수 있나요?,この曲'%1$s'をピアノ タイル 2で私は演奏する、%2$s評価を獲得した、誰が私のスコアを倒せます？,J'ai gagné %2$s dans '%1$s' de Piano Tiles 2. Qui peut me battre?,Ho Fatto %2$s in '%1$s' su Piano Tiles 2. Chi può battermi?,حصلت على نتيجة %1$s في لعب أغنية %2$s، من سيتغلب علي؟,Piano Tiles 2 '%1$s şarkısında %2$s kazandım. Kimse var mı?,"Saya mendapat%2$sdalam'%1$s'piano Tiles 2,siapa bisa mengalahkan aku?",,
,,,,shareshow_text1_main_ios,我在钢琴块2的%@演奏出%@水平，求挑战求超越！,我在鋼琴塊2的%@演奏出%@評價，求挑戰求超越！,I gained %@ in %@ of Piano Tiles 2. Who can beat me?,He ganado %@ en la canción %@ de PianoTiles2. ¿Quién me gana ?,Мой результат за «%@» в Плитках фортепиано 2 - %@. А вам слабо?,Ganhei %@ na canção %@ de Piano Tiles 2. Desafie-me!,Ich habe %@ in %@ von Piano Tiles 2 erhalten. Wer kann mich besiegen?,저는 피아노 타일2의 %@에서 %@ 평가를 얻었습니다. 제 기록을 깰 수 있나요?,%@の演奏が%@評価を獲得した、私と勝負しよう！,J'ai gagné %@ dans %@ de Piano Tiles 2. Qui peut me battre?,Ho Fatto %@ in %@ su Piano Tiles 2. Chi può battermi?,حصلت على نتيجة %@ في لعب أغنية %@، من سيتغلب علي؟,"Piano Tiles 2'de %@ şarkısında %@ puan kazandım, kimse var mı?","Saya mendapat %@ dalam %@ piano Tiles 2,siapa bisa mengalahkan aku?",,
,,,,shareshow_text1_star,星,星,Star,Estrella,звезда,estrela,Sterne,별,つ星,Étoile,Stelle,نجم,Yıldız,Bintang,,
,,,,shareshow_text1_crown,皇冠,皇冠,Crown,Corona,корона,coroa,Kaiserkrone,왕관,金の冠,Couronne,Corone,تاج,Taç,Mahkota,,
,竞技场,对外文案,竞技场大于等于50%,shareshow_text2_main,我在钢琴块2的手速挑战中击败了全球%1$s玩家，求挑战求超越！,我在鋼琴塊2的的手速挑戰中擊敗了全球%1$s玩家，求挑戰求超越！,I defeated %1$s global players in the global tapping competition of Piano Tiles 2. Who can beat me?,He vencido a un %1$s de jugadores en la competición global de Piano Tiles 2. ¡Desafíame!,Я впереди %1$s игроков в Плитках фортепиано 2. А вам слабо?,Tenho vencido %1$s de jogadores na competição global de Piano Tiles 2. Desafie-me!,"Ich habe beim globalen Wettbewerb von Piano Tiles %1$s Spieler geschlagen. Vesuch mal, mich herauszufordern!",저는 피아노 타일 2의 전 세계 터치 경쟁에서 %1$s의 선수를 이겼습니다. 누가 제 기록을 깰 수 있죠?,私はピアノタイル2がグローバルプレーヤーを%1$s超える、わたしを挑戦しよう！,J'ai battu %1$s joueurs du monde dans la compétition de Piano Tiles 2. Qui peut me battre?,Ho Battuto %1$s giocatori globali nella sfida competitiva globale su Piano Tiles 2. Chi può Battermi?,تغلبت على %1$s من اللاعبين في العالم في بيانو تايلز 2، من سيتغلب علي؟,Piano Tiles Küresel Yarışmalarında %1$s oyuncuyu mağlup ettim. Başka kimse var mı?,"Saya menagalahkan %1$s pemain sedunia dalam pertandingan kecepatan tangan sedunia Piano Tiles 2,siapa dapat mengalahkan saya?",,
,,对外文案(ios),竞技场大于等于50%,shareshow_text2_main_ios,我在钢琴块2的手速挑战中击败了全球%@%%玩家，求挑战求超越！,我在鋼琴塊2的的手速挑戰中擊敗了全球%@%%玩家，求挑戰求超越！,I defeated %@%% global players in the global tapping competition of Piano Tiles 2. Who can beat me?,He vencido a un %@%% de jugadores en la competición global de Piano Tiles 2. ¡Desafíame!,Я впереди %@%% игроков в Плитках фортепиано 2. А вам слабо?,Tenho vencido %@%% de jogadores na competição global de Piano Tiles 2. Desafie-me!,"Ich habe beim globalen Wettbewerb von Piano Tiles %@%% Spieler geschlagen. Vesuch mal, mich herauszufordern!",저는 피아노 타일 2의 전 세계 터치 경쟁에서 %@%%의 선수를 이겼습니다. 누가 제 기록을 깰 수 있죠?,私はピアノタイル2がグローバルプレーヤーを%@%%超える、私と勝負しよう。,J'ai battu %@%% joueurs du monde dans la compétition de Piano Tiles 2. Qui peut me battre?,Ho Battuto %@%% giocatori globali nella sfida competitiva globale su Piano Tiles 2. Chi può Battermi?,تغلبت على %@%% من اللاعبين في العالم في بيانو تايلز 2، من سيتغلب علي؟,"Küresel Yarışmalarında %@%% oyuncuyu mağlup ettim, benden kimse var mı?","Saya menagalahkan %@%% pemain sedunia dalam pertandingan kecepatan tangan sedunia Piano Tiles 2,siapa dapat mengalahkan saya?",,
,,对外文案,竞技场未达50%,shareshow_text3_main,我的手速达到了%1$s块/秒，求挑战求超越！,我的手速達到了%1$s塊/秒，求挑戰求超越！,My tapping speed reached %1$stiles/s. Who can beat me?,Mi velocidad ha alcanzado %1$s teclas /s. ¡Desafíame!,Моя скорость: %1$s клв/c. А вам слабо?,Minha velocidade de toque chegou a %1$s teclas/s. Desafie-me!,"Meine Geschwindigkeit hat %1$s Stücken/Sekunde erreicht. Vesuch mal, mich herauszufordern!",제 속도는 1초당 %1$s타일입니다. 누가 제 기록을 깰 수 있죠?,私のタップスピードが %1$s タイル/秒に達した、私と勝負しょう！,Ma vitesse de frappe atteint %1$s tuile/s. Qui peut me battre.,La mia velocità ha raggiunto %1$s piastrelle/s. Chi può battermi?,سرعة أصابعي تبلغ %1$s تايلز، من سيتغلب علي؟,"Tıklama Hızım %1$s tuş/s'ye ulaştı, daha güçlü olan var mı?","Kecepatan tangan saya sampai %1$s tuts/s,siapa bisa mengalahkan aku?",,
,,对外文案(ios),竞技场未达50%,shareshow_text3_main_ios,我的手速达到了%@块/秒，求挑战求超越！,我的手速達到了%@塊/秒，求挑戰求超越！,My tapping speed reached %@ tiles/s. Who can beat me?,Mi velocidad ha alcanzado %@ teclas /s. ¡Desafíame!,Моя скорость: %@ клв/c. А вам слабо?,Minha velocidade de toque chegou a %@ teclas/s. Desafie-me!,"Meine Geschwindigkeit hat %@ Stücken/Sekunde erreicht. Vesuch mal, mich herauszufordern!",제 속도는 1초당 %@타일입니다. 누가 제 기록을 깰 수 있죠?,私のタップスピードが %@ タイル/秒に達した、私と勝負しょう！,Ma vitesse de frappe atteint %@ tuile/s. Qui peut me battre.,La mia velocità ha raggiunto %@ piastrelle/s. Chi può battermi?,سرعة أصابعي تبلغ %@ تايلز، من سيتغلب علي؟,"Tıklama Hızım %@tuş/s'ye ulaştı, beni geçebilecek var mı?","Kecepatan tangan saya sampai %@tuts/s,siapa bisa mengalahkan aku?",,
,,,经典玩法,shareshow_jd_main,我在30秒内弹奏了%1$s %2$s，求超越！,我在30秒內彈奏了%1$s %2$s，求超越！,"I played %1$s %2$s in 30 seconds, waiting for your challenge!","En 30 segundos toqué %1$s %2$s, ¡supérame!","За 30 секунд я набрал %1$s %2$s, побей мой рекорд!",Consigo tocar %1$s %2$s teclas dentro de 30 segundos. Alguém consegue me superar?,%1$s %2$s Tasten innerhalb von 30 Sekunden! Willst du mich überholen?,내가 30초내에 %1$s %2$s 쳤어요! 초월할 수 있는 사람이 없나요?,30秒で %1$s %2$s を演奏しました。私に挑戦してください！,Je suis à %1$s %2$s tiles en 30 secondes. Venez me battre !,"Ho suonato %1$s %2$s tiles entro 30 secondi, c'è qualcuno mi sfida？",لعبت %1$s%2$ s تايلز أثناء 30 ثانية، من يستطيع أن يتغلب علي!,"30 saniye içinde %1$s %2$s tuşlara dokundum, Beni yenebilir kim var mı?","Gue bermain %1$s %2$s tuts dalam 30 detik,berani menantang gue kah?",,
,,,经典玩法IOS,shareshow_jd_main_ios,我在30秒内弹奏了%@ %@，求超越！,我在30秒內彈奏了%@ %@，求超越！,"I played %@ %@ in 30 seconds, waiting for your challenge!","En 30 segundos toqué %@ %@, ¡supérame!","За 30 секунд я набрал %@ %@, побей мой рекорд!",Consigo tocar %@ %@ teclas dentro de 30 segundos. Alguém consegue me superar?,%@ %@ Tasten innerhalb von 30 Sekunden! Willst du mich überholen?,내가 30초내에 %@ %@ 쳤어요! 초월할 수 있는 사람이 없나요?,30秒で %@ %@ を演奏しました。私に挑戦してください！,Je suis à %@ %@ tiles en 30 secondes. Venez me battre !,"Ho suonato %@ %@ tiles entro 30 secondi, c'è qualcuno mi sfida？",لعبت %@ %@ تايلز أثناء 30 ثانية، من يستطيع أن يتغلب علي!,"30 saniye içinde %@ %@ tuşlara dokundum, Beni yenebilir kim var mı?","Gue bermain %@ %@ tuts dalam 30 detik,berani menantang gue kah?",,
,排行榜（单曲）,对外文案,,shareshow_text4,我在'%1$s'歌曲演奏中排名第%2$s，求挑战求超越！,我在'%1$s'歌曲演奏中排名第%2$s，求挑戰求超越！,I'm No.%2$s in the song '%1$s' in Piano Tiles 2. Defeat me now!,Soy núm.%2$s en la canción '%1$s' en Piano TIles 2. ¡Derróteme ahora!,Я занимаю %2$s место в турнире по «%1$s». А вам слабо?,Sou No.%2$s na canção '%1$s' em Piano Tiles 2. Desafie-me agora!,Ich bin der %2$s. Platz im Titel '%1$s' in Piano Tiles 2. Schlägst Du mich?,제가'%1$s'랭킹 %2$s위를 했습니다. 도전 해보세요!,%1$s'の演奏がランキング%2$s位を取った、わたしを挑戦してみないか！,Je suis No.%2$s dans la chanson '%1$s' en Piano Tiles 2. Battez-moi maintenant!,"Mi classifico No.%2$s nella canzone '%1$s' in Piano Tiles 2, sconfiggimi!",أنا في مرتبة %2$s في أغنية '%1$s'. تحدي لي الآن!,Şarkı '%1$s' de sıram No.%2$s. Kimse var mı?,"Saya peringkat %2$s dalam lagu%1$s dalam Piano Tiles 2.,Ayo,Mengalahkan saya sekarang!",,
,排行榜（单曲）,对外文案(ios),,shareshow_text4_ios,我在%@歌曲演奏中排名第%@，求挑战求超越！,我在%@歌曲演奏中排名第%@，求挑戰求超越！,I'm No.%@ in the song %@ in Piano Tiles 2. Defeat me now!,Soy núm.%@ en la canción %@ en Piano Tiles 2. ¡Derrótame!,Я занимаю %@ место в турнире по «%@». А вам слабо?,Sou No. %@ na canção %@ em Piano Tiles 2. Desafie-me agora!,Ich bin der %@. Platz im Titel %@ in Piano Tiles 2. Schlägst Du mich?,제가%@ 랭킹 %@위를 했습니다. 도전 해보세요!,%@の演奏がランキング%@位を取った、わたしを挑戦してみないか！,Je suis No.%@ dans la chanson %@ en Piano Tiles 2. Battez-moi maintenant!,"Mi classifico No.%@ nella canzone %@ in Piano Tiles 2, sconfiggimi!",أنا في مرتبة %@ في أغنية %@. تحدي لي الآن!,Piano Tiles 2 Şarkı %@'da sıram %@. Haydi benimle beraber!,"Saya peringkat %@dalam lagu%@ dalam Piano Tiles 2.,Ayo,Mengalahkan saya sekarang!",,
,排行榜（总榜）,对外文案,,shareshow_text5,我击败了%1$s名好友，目前排名%2$s，不服来战！,我擊敗了%1$s名好友，目前排名%2$s，不服來戰！,"I defeated %1$s friends in Piano Tiles 2,ranking No.%2$s. Can you beat me?",He derrotado %1$s amigos en Piano Tiles 2 como el No. %2$s en el ranking. ¿Me vences?,После %1$s побед над друзьями я занимаю %2$s место. А вам слабо?,Derrotei %1$s amigos em Piano Tiles 2 com ranking de No.%2$s. Consegue me derrotar?,Ich habe %1$s Freunde in Piano Tiles 2 mit dem %2$s. Platz besiegt. Kannst DU MICH besiegen?,제가%1$s명 초월하고 랭킹 %2$s위입니다. 도전 해보자!,%1$s名の友達に勝った、今PIANO TILES 2の第%2$s位に。勝負しよう！,J' ai vaincu %1$s amis à Piano Tiles 2 avec le classement n ° %2$s. Pouvez-vous me vaincre?,"Ho sconfitto %1$s amici in Piano Tiles 2 e adesso mi classifico No.%2$s , puoi sconfiggermi?",تغلبت على %1$s من أصدقائي وأنا في مرتبة %2$s. من سيتغلب علي!,"Piano Tiles 2'de %1$s arkadaşımı mağlup ettim, şimdi sıram %2$s. Benimle oynamak isteyen var mı?",Saya mengalahkan %1$s teman peringkat %2$s.Apakah Anda dapat mengalahkan saya?,,
,排行榜（总榜）,对外文案(ios),,shareshow_text5_ios,我击败了%@名好友，目前排名%@，不服来战！,我擊敗了%@名好友，目前排名%@，不服來戰！,"I defeated %@ friends in Piano Tiles 2,ranking No.%@. Can you beat me?",He derrotado %@ amigos en Piano Tiles 2 como el No. %@ en el ranking. ¿Me vences?,После %@ побед над друзьями я занимаю %@ место. А вам слабо?,Derrotei %@ amigos em Piano Tiles 2 com ranking de No.%@. Consegue me derrotar?,Ich habe %@ Freunde in Piano Tiles 2 mit dem %@. Platz besiegt. Kannst DU MICH besiegen?,제가%@명 초월하고 랭킹 %@위입니다. 도전 해보자!,%@名の友達に勝った、今PIANO TILES 2の第%@位に。勝負しよう！,J' ai vaincu %@ amis à Piano Tiles 2 avec le classement n °%@. Pouvez-vous me vaincre?,"Ho sconfitto %@ amici in Piano Tiles 2 e adesso mi classifico No.%@ , puoi sconfiggermi?",تغلبت على %@ من أصدقائي وأنا في مرتبة %@. من سيتغلب علي!,"Piano Tiles 2'de %@ arkadaşımı mağlup ettim, sıram %@. Kimse var mı?",Saya mengalahkan %@ teman peringkat %@.Apakah Anda dapat mengalahkan saya?,,
,通用,衔接链接,,shareshow_arrow,->,->,->,->,->,->,->,->,->,->,->,->,->,->,,
,,外置链接,,shareshow_link,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,http://s.p2.cmcm.com/transfer.html,,
,一般页 - 本地截图,图片内文案,,sharepic_title_i_just_play,我弹了一首,我彈了一曲,I just played,Jugué,Композиция,Acabei de jogar,Ich habe gerade gespielt,한 곡 연주했습니다,曲を弾いた!,Je viens de jouer,Ho appena giocato,لقد لعبت فقط,Oynadım,Saya baru main,,
,,,,sharepic_title_just_play,我的得分是,我的得分是,My Score,Mi puntaje,Мой результат,Minha pontuação,meine Punktzahl,내 점수,スコア,Mon score est,"Il mio Punteggio
",نتيجتي,Skorum,Skor saya,,
,竞技场 - 本地截图,,,sharepic_title_amazing,超赞,超讚,Amazing,Impresionante,Браво,Incrível,Erstaunlich,어메이징,素晴らしいです,Magnifique,Stupefacente,رائع,Harika,Keren,,
,,,,sharepic_title_speed,我的手速达到了,我的手速達到了,My tapping speed reached,Mi velocidad alcanzó a,Моя скорость,Minha velocidade chegou a ,Meine Tippgeschwindigkeit beträgt,내 속도는,私のタップスピードが躍進!,Ma vitesse de frappe atteint,La mia velocità toccata ha raggiunto,وبلغت سرعة يدي,Elim hıza ulaştı,Kecepatan tangan saya sampai,,
,,,,sharepic_title_tile,块/秒,塊/秒,tiles/s,teclas/s,"клв/с
",teclas/s,fliesen/s,타일 / 초,タイル/秒,tuile/s,Tasti/s,تايلز / ثانية,tuş/s,tuts/s,,
,,,,sharepic_title_challenge,等您来挑战！,等您來挑戰！,Challenge me!,Desafíame,А вам слабо?,Desafie-me ,Fordern Sie mich heraus!,도전해보자!,わたしと勝負しよう！,Défiez-moi!,Sfidami!,تحدي لي,Bana meydan oku!,"Ayo,tantang saya!",,
,通用 - 本地截图,,,rank,排名,排名,Ranking,Ranking,Рейтинг,Ranking,Rang,랭킹,ランキング,Classement,Classifica,مرتبة,Sıralama,Peringkat,,
,通用 - 本地截图,,,game_name_piano,钢琴,鋼琴,Piano,Piano,фортепиано,Piano,Piano ,Piano ,ピアノ,Piano,Piano,Piano,Piano,Piano,,
,,,,game_name_tile,块,塊,Tiles,Tiles,Плитки,Tiles,Tiles,Tiles,タイル ,Tiles,Tiles,Tiles,Tiles,Tiles,,
,,,,game_name_pt_fullname,钢琴块,鋼琴塊,,,Плитки фортепиано,,,,,Piano Tiles,Piano Tiles,,,,,
,微信 - 本地截图,,,sharepic_wechat_qrcode,长按此处识别二维码下载,識別圖中的QR Code,Press and hold to scan QR codes,Press and hold to scan QR codes,"Нажмите и удерживайте, чтобы сканировать QR-код.",Mantenha pressionado para ler o código QR,"Drücken und halten, um QR-codes zu scannen",Press and hold to scan QR codes,ここを長く押してQRコードを認識する,Appuyer et identifier le code QR,Tieni premuto per eseguire la scansione del codice QR,Press and hold to scan QR codes,QR kodunu taramak için basılı tutun,Tekan lama untuk pindai kode QR,,
,,,,sharepic_app_name,钢琴块2,鋼琴塊2,Piano Tiles 2,Piano Tiles 2 ,Плитки фортепиано 2,Piano Tiles 2,Piano Tiles 2,Piano Tiles 2,ピアノ タイル 2,Piano Tiles 2,Piano Tiles 2,بيانو تايلز 2,Piano Tiles 2,Piano Tiles 2,,
,竞技场 - 图片合成,图片合成文案,,sharepic_screenshot,手速太快，吓死宝宝了！,極限手速等您來挑戰 ,Who can tap faster than me ?,¿Quién puede tocar más rapido que yo?,Тебе меня не победить!!,Quem pode tocar mais rápido do que eu?,Wer kann schneller tippen als ich?,손속도 놀라게 빠른다!,誰が私より速い？,Qui peut taper plus vite que moi?,Chi può giocare più velocemente di me?,من يستطيع الضغط أسرع مني ؟,Kim benden daha hızlı?,Keren!Tangan cepat banget nih!,,
,通用 - 图片合成,图片合成文案,,sharepic_score,得分,得分,Score,Puntaje,Результат,Pontuação,Punktzahl,점수,スコア,Note,Record,نتيجتي,Skor,Skor,,
H5分享-圣诞节,结果页 - 动态条,文案,,,,,,,,,,,,,,,,,,
